,gbm1,gbm2,gbm3,gbm4,gbm5
7812,1,2,2,2,2
3505,1,1,1,1,1
4210,2,2,2,2,2
7949,1,1,1,1,1
1439,2,1,1,1,1
2240,1,1,1,1,1
498,1,1,1,1,1
1892,2,2,2,2,2
5440,1,1,1,1,1
1657,1,1,2,1,2
3998,1,1,1,1,1
4532,1,2,2,2,1
7571,0,0,0,0,0
4456,2,2,2,2,2
1500,0,0,0,0,0
3974,2,2,2,2,2
3497,1,2,2,1,1
4645,1,1,1,1,1
2538,0,0,0,0,0
711,1,1,1,1,1
5646,1,2,2,2,2
1406,1,1,1,1,1
2425,1,1,1,1,1
5,1,0,0,0,0
5725,1,1,1,1,1
9558,1,1,1,1,1
1160,1,1,1,1,1
7757,1,1,1,1,1
3378,1,1,1,1,1
7637,2,2,2,2,2
9920,1,1,1,1,1
4495,0,0,0,0,0
9165,1,2,2,2,2
4678,2,1,1,1,1
8764,2,1,1,1,1
422,1,1,1,1,1
1311,1,1,1,1,1
7276,0,1,0,0,0
3850,1,1,1,1,1
2160,1,1,1,1,1
10304,1,1,1,1,1
797,1,1,1,1,1
3297,1,1,1,1,1
6896,1,1,1,1,1
2175,1,1,1,1,1
97,1,2,2,2,2
5424,1,1,1,1,1
6557,0,0,0,0,0
4918,1,1,1,1,1
5181,0,0,0,0,0
9320,1,1,1,1,1
1261,1,1,1,2,2
9762,1,1,1,1,1
432,0,0,0,0,0
1791,0,0,0,0,0
4187,1,2,1,1,1
5912,1,1,1,1,1
5310,1,1,1,1,1
10233,2,2,2,2,2
638,1,1,1,1,2
5623,1,1,1,1,1
8520,1,1,1,1,1
4820,1,1,1,1,1
3367,1,2,2,2,2
5063,1,1,1,1,1
9524,2,2,2,2,2
1274,1,1,1,1,1
2119,2,2,2,2,2
794,1,1,1,1,1
3970,1,1,2,1,1
5644,1,1,1,1,1
1277,2,1,1,1,1
8008,1,1,1,1,1
3444,0,0,0,0,0
110,1,1,1,1,1
865,1,1,1,1,1
3123,1,2,2,2,2
4980,1,2,1,1,1
291,2,1,0,0,0
2484,1,2,1,2,1
5046,1,1,1,1,1
4011,1,1,1,1,1
7737,1,1,2,1,1
5785,1,1,1,1,1
1339,1,1,1,1,1
2101,0,0,0,0,0
9603,2,2,2,2,1
3844,0,0,0,0,0
7334,1,1,1,1,1
6676,0,0,0,0,0
2977,1,1,1,1,2
9998,1,2,2,1,1
1976,1,1,1,1,1
2985,1,1,1,1,1
3557,1,1,1,1,1
2262,1,1,1,1,1
488,1,1,1,1,2
6716,0,0,0,0,0
5893,1,1,1,1,1
4248,1,1,1,1,1
5144,1,1,1,1,1
6007,1,2,1,1,1
7272,1,1,2,2,2
7441,2,1,1,1,1
1047,1,1,1,1,1
2253,1,1,1,1,1
4154,1,1,1,1,1
2742,1,1,1,1,1
7490,1,1,1,1,1
529,1,1,1,1,1
9662,1,1,1,1,1
3141,1,1,1,1,1
3289,1,1,1,1,1
4489,1,1,1,1,1
1338,1,1,1,1,1
9351,1,1,1,1,2
7534,1,2,2,2,1
10109,1,1,1,1,1
1757,1,1,1,1,1
6168,1,1,1,1,1
8396,1,1,1,1,1
8176,1,1,1,1,1
9144,1,1,1,1,1
5902,1,2,1,1,1
1270,1,1,1,1,1
8056,2,2,2,2,1
4898,1,1,1,1,1
2753,1,1,1,1,1
7603,1,1,1,1,1
8101,1,1,1,1,1
8549,2,2,2,2,1
4168,1,1,1,1,1
731,1,1,1,1,1
1794,1,1,1,1,1
3993,1,1,1,2,1
9797,0,0,0,0,0
6477,1,1,1,1,1
5128,2,2,2,2,2
4295,0,0,0,0,0
6568,1,1,1,1,2
10071,1,1,1,1,1
7252,1,2,1,1,1
1554,0,0,0,0,0
2026,1,1,1,2,2
700,1,1,1,1,1
8268,0,0,0,0,0
4416,0,0,0,0,0
1432,1,1,1,1,1
505,1,1,1,1,1
1710,1,1,1,1,1
7703,1,1,1,1,1
2946,0,0,0,0,0
5051,1,2,2,2,1
7226,1,2,1,1,1
7699,1,1,1,1,1
6242,0,0,0,0,0
2213,0,0,0,0,0
2762,1,2,2,2,1
3248,1,1,1,1,1
6019,1,1,1,1,1
1986,1,1,1,1,1
105,1,2,2,2,2
7601,1,1,1,1,1
8561,1,2,2,2,1
3667,2,2,2,2,2
6281,1,1,1,1,1
8305,1,1,1,1,1
7939,1,2,1,1,1
663,1,1,1,1,2
19,0,0,0,0,0
7130,2,1,1,1,1
8921,1,1,1,1,1
4345,1,2,2,2,2
